date,region_id,labor_force,employment_level,labor_force_participation_rate,unemployment_rate,employment_population_ratio
1/31/1980,1,1948974,1784909,64.7,8.4,59.3
2/29/1980,1,1951652,1794328,64.6,8.1,59.4
3/31/1980,1,1950219,1805010,64.3,7.4,59.5
4/30/1980,1,1947328,1800961,64,7.5,59.1
5/31/1980,1,1952132,1801255,64,7.7,59
6/30/1980,1,1983435,1819742,64.9,8.3,59.5
7/31/1980,1,2003681,1844451,65.4,7.9,60.2
8/31/1980,1,1984949,1829213,64.7,7.8,59.6
9/30/1980,1,1967919,1821769,64,7.4,59.3
10/31/1980,1,1987904,1836640,64.6,7.6,59.7
11/30/1980,1,1981264,1819274,64.2,8.2,59
12/31/1980,1,1984872,1813436,64.3,8.6,58.7
1/31/1981,1,1982347,1789426,64,9.7,57.8
2/28/1981,1,1993727,1795665,64.3,9.9,57.9
3/31/1981,1,2001891,1813200,64.5,9.4,58.4
4/30/1981,1,1996456,1822920,64.2,8.7,58.6
5/31/1981,1,2006846,1829756,64.4,8.8,58.7
6/30/1981,1,2026286,1846379,64.9,8.9,59.1
7/31/1981,1,2041039,1868524,65.3,8.5,59.7
8/31/1981,1,2026665,1848670,64.7,8.8,59
9/30/1981,1,1997069,1822438,63.7,8.7,58.2
10/31/1981,1,2011083,1826065,64.1,9.2,58.2
11/30/1981,1,1998828,1791772,63.7,10.4,57.1
12/31/1981,1,1997520,1776105,63.6,11.1,56.5
1/31/1982,1,2001916,1754119,63.7,12.4,55.8
2/28/1982,1,2007453,1755446,63.8,12.6,55.8
3/31/1982,1,2011193,1771367,63.9,11.9,56.3
4/30/1982,1,1998040,1770898,63.4,11.4,56.2
5/31/1982,1,2010285,1782997,63.7,11.3,56.5
6/30/1982,1,2033577,1803216,64.4,11.3,57.1
7/31/1982,1,2057641,1829300,65.1,11.1,57.9
8/31/1982,1,2044726,1818022,64.7,11.1,57.5
9/30/1982,1,2021313,1801551,63.9,10.9,56.9
10/31/1982,1,2037445,1809192,64.4,11.2,57.1
11/30/1982,1,2038208,1788113,64.3,12.3,56.4
12/31/1982,1,2033761,1781128,64.1,12.4,56.2
1/31/1983,1,2018849,1750182,63.6,13.3,55.2
2/28/1983,1,2019913,1754098,63.6,13.2,55.2
3/31/1983,1,2026030,1770100,63.8,12.6,55.7
4/30/1983,1,2013658,1784255,63.3,11.4,56.1
5/31/1983,1,2018203,1792168,63.4,11.2,56.3
6/30/1983,1,2069354,1838086,65,11.2,57.7
7/31/1983,1,2081381,1868429,65.3,10.2,58.6
8/31/1983,1,2072312,1855351,65,10.5,58.2
9/30/1983,1,2060133,1853115,64.5,10,58
10/31/1983,1,2074508,1869773,64.9,9.9,58.5
11/30/1983,1,2067030,1854106,64.6,10.3,57.9
12/31/1983,1,2062383,1847715,64.4,10.4,57.7
1/31/1984,1,2050857,1812377,63.9,11.6,56.5
2/29/1984,1,2060489,1829440,64.1,11.2,57
3/31/1984,1,2059697,1847631,64.1,10.3,57.5
4/30/1984,1,2053778,1856355,63.8,9.6,57.7
5/31/1984,1,2063886,1875975,64,9.1,58.2
6/30/1984,1,2094755,1911067,64.9,8.8,59.2
7/31/1984,1,2118747,1937008,65.6,8.6,60
8/31/1984,1,2100207,1920990,65,8.5,59.4
9/30/1984,1,2082845,1910975,64.4,8.3,59.1
10/31/1984,1,2089544,1919323,64.6,8.1,59.3
11/30/1984,1,2072807,1894435,64,8.6,58.5
12/31/1984,1,2070689,1886118,63.9,8.9,58.2
1/31/1985,1,2075954,1862442,64,10.3,57.4
2/28/1985,1,2081539,1870194,64.2,10.2,57.7
3/31/1985,1,2084923,1895899,64.2,9.1,58.4
4/30/1985,1,2077685,1907279,64,8.2,58.7
5/31/1985,1,2089928,1920725,64.3,8.1,59.1
6/30/1985,1,2115734,1944243,65.1,8.1,59.8
7/31/1985,1,2143783,1979735,65.9,7.7,60.8
8/31/1985,1,2131191,1975113,65.4,7.3,60.6
9/30/1985,1,2118063,1963369,64.8,7.3,60.1
10/31/1985,1,2131862,1977909,65.1,7.2,60.4
11/30/1985,1,2121394,1956874,64.7,7.8,59.7
12/31/1985,1,2118721,1951426,64.5,7.9,59.4
1/31/1986,1,2124255,1937365,64.5,8.8,58.8
2/28/1986,1,2141201,1939817,64.9,9.4,58.8
3/31/1986,1,2152097,1964170,65.1,8.7,59.4
4/30/1986,1,2147413,1975357,64.8,8,59.6
5/31/1986,1,2163760,1990979,65.2,8,60
6/30/1986,1,2202378,2026150,66.2,8,60.9
7/31/1986,1,2232001,2060237,67,7.7,61.8
8/31/1986,1,2217554,2052164,66.4,7.5,61.5
9/30/1986,1,2201483,2036486,65.8,7.5,60.9
