date,region_id,sliced_bacon_lb,white_bread_lb,coffee_lb,eggs_dz,gas_gl
1/1/1980,1,1.453,0.501,3.208,0.879,1.131
2/29/1980,1,1.41,0.507,3.258,0.774,1.207
3/31/1980,1,1.361,0.502,3.248,0.812,1.252
4/30/1980,1,1.323,0.507,3.209,0.797,1.264
5/31/1980,1,1.266,0.504,3.2,0.737,1.266
6/30/1980,1,1.271,0.503,3.181,0.731,1.269
7/31/1980,1,1.371,0.511,3.233,0.776,1.271
8/31/1980,1,1.469,0.507,3.23,0.907,1.267
9/30/1980,1,1.617,0.511,3.159,0.898,1.257
10/31/1980,1,1.641,0.514,3.053,0.867,1.25
11/30/1980,1,1.684,0.519,2.913,0.917,1.25
12/31/1980,1,1.711,0.519,2.818,1.031,1.258
1/31/1981,1,1.668,0.531,2.777,0.943,1.298
2/28/1981,1,1.638,0.533,2.595,0.924,1.382
3/31/1981,1,1.596,0.538,2.557,0.875,1.417
4/30/1981,1,1.53,0.519,2.562,0.904,1.412
5/31/1981,1,1.548,0.525,2.538,0.836,1.4
6/30/1981,1,1.601,0.523,2.517,0.852,1.391
7/31/1981,1,1.665,0.521,2.512,0.86,1.382
8/31/1981,1,1.693,0.519,2.492,0.868,1.376
9/30/1981,1,1.753,0.524,2.46,0.915,1.376
10/31/1981,1,1.78,0.521,2.451,0.898,1.371
11/30/1981,1,1.766,0.527,2.408,0.943,1.369
12/31/1981,1,1.751,0.521,2.457,0.966,1.365
1/31/1982,1,1.747,0.537,2.475,0.925,1.358
2/28/1982,1,1.811,0.534,2.552,1.007,1.334
3/31/1982,1,1.824,0.526,2.564,0.952,1.284
4/30/1982,1,1.894,0.526,2.585,0.896,1.225
5/31/1982,1,1.982,0.529,2.567,0.842,1.237
6/30/1982,1,2.07,0.525,2.527,0.783,1.309
7/31/1982,1,2.101,0.534,2.502,0.851,1.331
8/31/1982,1,2.2,0.534,2.515,0.778,1.323
9/30/1982,1,2.36,0.536,2.517,0.852,1.307
10/31/1982,1,2.334,0.534,2.5,0.854,1.295
11/30/1982,1,2.186,0.534,2.481,0.849,1.283
12/31/1982,1,2.128,0.537,2.501,0.813,1.26
1/31/1983,1,2.123,0.541,2.528,0.821,1.23
2/28/1983,1,2.147,0.544,2.519,0.794,1.187
3/31/1983,1,2.072,0.544,2.478,0.836,1.152
4/30/1983,1,2.003,0.538,2.466,0.825,1.215
5/31/1983,1,1.951,0.542,2.459,0.865,1.259
6/30/1983,1,1.91,0.542,2.47,0.825,1.277
7/31/1983,1,1.918,0.544,2.454,0.847,1.288
8/31/1983,1,1.876,0.539,2.451,0.884,1.285
9/30/1983,1,1.914,0.536,2.438,0.938,1.274
10/31/1983,1,1.857,0.535,2.432,0.962,1.255
11/30/1983,1,1.773,0.547,2.454,0.996,1.241
12/31/1983,1,1.758,0.547,2.437,1.131,1.231
1/31/1984,1,1.812,0.543,2.495,1.301,1.216
2/29/1984,1,1.881,0.541,2.546,1.324,1.209
3/31/1984,1,1.803,0.542,2.546,1.153,1.21
4/30/1984,1,1.798,0.536,2.549,1.199,1.227
5/31/1984,1,1.817,0.541,2.567,1.054,1.236
6/30/1984,1,1.832,0.542,2.598,0.903,1.229
7/31/1984,1,1.901,0.541,2.609,0.876,1.212
8/31/1984,1,1.902,0.543,2.606,0.86,1.196
9/30/1984,1,1.889,0.539,2.617,0.854,1.203
10/31/1984,1,1.895,0.54,2.616,0.842,1.209
11/30/1984,1,1.867,0.543,2.594,0.823,1.207
12/31/1984,1,1.89,0.544,2.593,0.867,1.193
1/31/1985,1,1.952,0.551,2.585,0.746,1.148
2/28/1985,1,1.966,0.544,2.594,0.784,1.131
3/31/1985,1,1.956,0.544,2.621,0.79,1.159
4/30/1985,1,1.948,0.544,2.603,0.783,1.205
5/31/1985,1,1.928,0.542,2.606,0.745,1.231
6/30/1985,1,1.894,0.546,2.614,0.724,1.241
7/31/1985,1,1.951,0.556,2.59,0.787,1.242
8/31/1985,1,1.96,0.553,2.564,0.789,1.229
9/30/1985,1,1.926,0.561,2.563,0.857,1.216
10/31/1985,1,1.945,0.566,2.573,0.86,1.204
11/30/1985,1,1.932,0.564,2.549,0.872,1.207
12/31/1985,1,1.918,0.568,2.505,0.906,1.208
1/31/1986,1,1.935,0.566,2.737,0.901,1.194
2/28/1986,1,1.956,0.563,3.554,0.866,1.12
3/31/1986,1,1.892,0.56,3.74,0.887,0.981
4/30/1986,1,1.871,0.561,3.706,0.89,0.888
5/31/1986,1,1.869,0.562,3.655,0.82,0.923
6/30/1986,1,1.953,0.569,3.646,0.795,0.955
7/31/1986,1,2.157,0.564,3.594,0.833,0.89
8/31/1986,1,2.332,0.57,3.462,0.913,0.843
9/30/1986,1,2.373,0.566,3.315,0.868,0.86
10/31/1986,1,2.298,0.565,3.269,0.855,0.831
11/30/1986,1,2.187,0.564,3.268,0.897,0.821
12/31/1986,1,2.159,0.566,3.247,0.91,0.823
1/31/1987,1,2.118,0.544,3.192,0.862,0.862
2/28/1987,1,2.091,0.539,3.087,0.823,0.905
3/31/1987,1,2.095,0.541,2.96,0.8,0.912
4/30/1987,1,2.076,0.542,2.865,0.786,0.934
5/31/1987,1,2.112,0.54,2.777,0.763,0.941
6/30/1987,1,2.126,0.533,2.737,0.711,0.958
7/31/1987,1,2.231,0.544,2.709,0.763,0.971
8/31/1987,1,2.284,0.546,2.636,0.73,0.995
9/30/1987,1,2.28,0.551,2.654,0.837,0.99
10/31/1987,1,2.193,0.559,2.67,0.778,0.976
11/30/1987,1,2.071,0.559,2.581,0.805,0.976
12/31/1987,1,2.02,0.571,2.553,0.733,0.961
1/31/1988,1,1.954,0.586,2.635,0.76,0.933
2/29/1988,1,1.94,0.586,2.665,0.718,0.913
3/31/1988,1,1.919,0.587,2.634,0.74,0.904
4/30/1988,1,1.907,0.595,2.699,0.719,0.93
5/31/1988,1,1.9,0.598,2.729,0.678,0.955
6/30/1988,1,1.904,0.601,2.735,0.705,0.955
7/31/1988,1,1.908,0.602,2.784,0.803,0.967
